,index,date,state,count
0,0,10/02/2022,Alabama,"3,337"
1,1,10/02/2022,Alaska,372
2,2,10/02/2022,Arizona,"6,236"
3,3,10/02/2022,Arkansas,"1,470"
4,4,10/02/2022,California,"36,622"
5,5,10/02/2022,Colorado,"6,035"
6,6,10/02/2022,Connecticut,"3,855"
7,7,10/02/2022,Delaware,"1,525"
8,8,10/02/2022,Florida,"14,910"
9,9,10/02/2022,Georgia,"10,358"
10,10,10/02/2022,Hawaii,930
11,11,10/02/2022,Idaho,982
12,12,10/02/2022,Illinois,"14,029"
13,13,10/02/2022,Indiana,"3,332"
14,14,10/02/2022,Iowa,"2,158"
15,15,10/02/2022,Kansas,"1,628"
16,16,10/02/2022,Kentucky,"1,843"
17,17,10/02/2022,Louisiana,"1,597"
18,18,10/02/2022,Maine,612
19,19,10/02/2022,Maryland,"12,213"
20,20,10/02/2022,Massachusetts,"11,454"
21,21,10/02/2022,Michigan,"6,219"
22,22,10/02/2022,Minnesota,"5,392"
23,23,10/02/2022,Mississippi,684
24,24,10/02/2022,Missouri,"4,750"
25,25,10/02/2022,Montana,412
26,26,10/02/2022,Nebraska,"1,439"
27,27,10/02/2022,Nevada,"1,663"
28,28,10/02/2022,New Hampshire,980
29,29,10/02/2022,New Jersey,"10,105"
30,30,10/02/2022,New Mexico,"1,312"
31,31,10/02/2022,New York,"20,977"
32,32,10/02/2022,North Carolina,"10,734"
33,33,10/02/2022,North Dakota,302
34,34,10/02/2022,Ohio,"9,210"
35,35,10/02/2022,Oklahoma,"1,560"
36,36,10/02/2022,Oregon,"2,801"
37,37,10/02/2022,Pennsylvania,"12,498"
38,38,10/02/2022,Rhode Island,"1,018"
39,39,10/02/2022,South Carolina,"2,468"
40,40,10/02/2022,South Dakota,335
41,41,10/02/2022,Tennessee,"4,695"
42,42,10/02/2022,Texas,"27,268"
43,43,10/02/2022,Utah,"2,589"
44,44,10/02/2022,Vermont,432
45,45,10/02/2022,Virginia,"20,944"
46,46,10/02/2022,Washington,"8,501"
47,47,10/02/2022,West Virginia,543
48,48,10/02/2022,Wisconsin,"3,823"
49,49,10/02/2022,Wyoming,215
